Start	End	Description
5/24/2022 15:00	5/28/2022 10:00	Tammy Visiting
5/24/2022 14:15	5/24/2022 17:00	Jeep Teaching
5/26/2022 14:15	5/26/2022 17:00	Jeep Teaching
5/27/2022 10:45	5/27/2022 11:45	Jeep Gets Citizenship!
5/31/2022 14:15	5/31/2022 17:00	Jeep Teaching
6/1/2022 13:00	6/1/2022 14:00	Jeep to the Doctor
6/2/2022 14:15	6/2/2022 17:00	Jeep Teaching
6/6/2022 11:00	6/6/2022 11:00	Termite Check
6/7/2022 14:15	6/7/2022 17:00	Jeep Teaching
6/9/2022 14:15	6/9/2022 17:00	Jeep Teaching
6/10/2022 17:00	6/10/2022 20:00	Jeep in Maine
6/14/2022 14:15	6/15/2022 17:00	Jeep Teaching
6/16/2022 14:15	6/16/2022 17:00	Jeep Teaching
