stonk	trade_type	shares	trade_date	price
AAPL	buy	1	08-12-2021	0.00
SDGA	buy	1	08-13-2021	28.35
CNRG	buy	1	08-16-2021	96.44
ICLN	buy	5	08-23-2021	22.80
ACES	buy	2	08-23-2021	68.04
GRID	buy	1	08-23-2021	97.99
SDGA	buy	1	08-23-2021	28.05
DEMZ	buy	2	08-23-2021	28.86
NACP	buy	2	08-23-2021	33.81
WOMN	buy	1	08-23-2021	34.26
AXP	buy	1	08-23-2021	161.35
IBM	buy	1	08-23-2021	139.91
WOMN	buy	1	08-23-2021	34.29
ACES	buy	1	08-31-2021	70.44
CNRG	buy	1	08-31-2021	98.35
GRID	buy	1	08-31-2021	99.22
CSCO	buy	1	08-31-2021	58.84
TRV	buy	1	08-31-2021	160.40
DIS	buy	1	08-31-2021	182.02
SDGA	buy	2	08-31-2021	28.36
DEMZ	buy	2	08-31-2021	29.14
NACP	buy	1	08-31-2021	34.55
WOMN	buy	1	08-31-2021	34.72
ICLN	buy	6	08-31-2021	23.33
